('吉林市骨伤医院', '二级甲等', '专科医院', '吉林省', '吉林市', '昌邑区', '126', '吉林市昌邑区天津街777号')
('沈阳市于洪区红十字会医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区鸭绿江街1号')
('沈阳市于洪区中西区结合医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区于洪乡张士村')
('沈阳市于洪区中医院', '二级甲等', '中医医院', '辽宁省', '沈阳市', '于洪区', '150', '沈阳市于洪区沈大路25号')
('沈阳市于洪区第五人民医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区沈辽中路124号')
('沈阳市于洪区第三人民医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '30', '沈阳市于洪区沙岭')
('沈阳市松山医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', 0, '沈阳市于洪区洞庭湖街')
('沈阳市杨士联合中医院', None, '中医医院', '辽宁省', '沈阳市', '于洪区', '106', '沈阳市于洪区')
('沈阳市铁西精神病医院', None, '专科医院', '辽宁省', '沈阳市', '于洪区', '450', '沈阳市于洪区沈新路59号')
('沈阳市于洪区红十字会医院分院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区重工南街132巷')
('沈阳市于洪区人民医院', '二级甲等', '综合医院', '辽宁省', '沈阳市', '于洪区', '310', '沈阳市于洪区东湖14号')
('辽宁省邮电医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '24', '沈阳市于洪区黄河北大街黄山路4号')
('沈阳市公安局安康医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '260', '沈阳市于洪区')
('沈阳市于洪区第四人民医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '30', '沈阳市于洪区小潘')
('沈阳市于洪区第二人民医院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '100', '沈阳市于洪区东三十家')
('新民市前当堡镇中医院', None, '中医医院', '辽宁省', '沈阳市', '新民市', '0', '新民市前当堡镇')
('新民市康复医院', '二级甲等', '专科医院', '辽宁省', '沈阳市', '新民市', '150', '新民市东城')
('新民市妇幼保健所', None, '妇幼保健院', '辽宁省', '沈阳市', '新民市', '0', '新民市辽河大街137号')
('新民市中医院', '二级甲等', '中医医院', '辽宁省', '沈阳市', '新民市', '50', '新民市东城街道中兴东路2号')
('新民市第五人民医院', None, '综合医院', '辽宁省', '沈阳市', '新民市', '50', '新民市大民屯镇')
('新民市第三人民医院', None, '综合医院', '辽宁省', '沈阳市', '新民市', '50', '新民市公主屯镇')
('新民市第二人民医院', '二级甲等', '综合医院', '辽宁省', '沈阳市', '新民市', '90', '新民市东城')
('新民市人民医院', '二级甲等', '综合医院', '辽宁省', '沈阳市', '新民市', '430', '新民市西城区康复街20号')
('新民市妇婴医院', '二级未定', '专科医院', '辽宁省', '沈阳市', '新民市', '113', '新民市民族街13号')
('太谷县妇幼保健院', '一级甲等', '妇幼保健院', '山西省', '晋中市', '太谷县', '50', '山西省晋中市太谷县西环路62号')
('祁县城关医院', None, '综合医院', '山西省', '晋中市', '祁县', '0', '山西省晋中市祁县')
('祁县人民医院', '二级甲等', '综合医院', '山西省', '晋中市', '祁县', '156', '山西省祁县城内西大街付40号')
('祁县妇幼保健站', None, '妇幼保健院', '山西省', '晋中市', '祁县', '0', '山西省晋中市祁县')
('祁县中医院', '二级乙等', '中医医院', '山西省', '晋中市', '祁县', '58', '山西省晋中市祁县东大街89号')
('祁县第二人民医院', '一级甲等', '综合医院', '山西省', '晋中市', '祁县', '60', '山西省晋中市祁县东观村')
('祁县东观医院', None, '综合医院', '山西省', '晋中市', '祁县', '0', '山西省晋中市祁县')
('祁县中医医院', '一级甲等', '中医医院', '山西省', '晋中市', '祁县', '0', '山西省晋中市祁县东大街52号')
('平遥县康明眼科医院', '二级甲等', '专科医院', '山西省', '晋中市', '平遥县', '50', '山西省晋中市平遥县曙光路东街73号')
('平遥县城关医院', None, '综合医院', '山西省', '晋中市', '平遥县', '0', '山西省平遥县')
('平遥县妇幼保健站', None, '妇幼保健院', '山西省', '晋中市', '平遥县', '0', '山西省平遥县')
('平遥县二轻职工医院', None, '专科医院', '山西省', '晋中市', '平遥县', '0', '山西省平遥县')
('平遥县人民医院', '二级甲等', '综合医院', '山西省', '晋中市', '平遥县', '200', '山西省晋中市平遥县曙光路61号')
('平遥县中医院', '二级甲等', '中医医院', '山西省', '晋中市', '平遥县', '107', '山西省晋中市平遥县南大街24号')
('平遥县妇幼保健中心', None, '综合医院', '山西省', '晋中市', '平遥县', '0', '山西省平遥县')
('平遥县洪善地区医院', '一级甲等', '综合医院', '山西省', '晋中市', '平遥县', '0', '山西省晋中市平遥县襄垣乡郝家堡村')
('平通县人民医院', '一级甲等', '综合医院', '山西省', '晋中市', '平遥县', '0', '平通县南门外')
('灵石县城关镇医院', None, '乡镇卫生院', '山西省', '晋中市', '灵石县', '0', '山西省灵石县')
('灵石县中医院', '二级乙等', '中医医院', '山西省', '晋中市', '灵石县', '60', '山西省晋中市灵石县城关旧城北街4号')
('灵石县商业医院', None, '综合医院', '山西省', '晋中市', '灵石县', '0', '山西省灵石县')
('灵石县妇幼保健站', None, '妇幼保健院', '山西省', '晋中市', '灵石县', '0', '山西省灵石县')
('灵石县人民医院', '二级甲等', '综合医院', '山西省', '晋中市', '灵石县', '260', '山西省晋中市灵石县新建路北90号')
('灵石县妇幼保健院', '二级乙等', '妇幼保健院', '山西省', '晋中市', '灵石县', '50', '山西省晋中市灵石县城内联合巷36号')
('朔州市平鲁区中医院', None, '中医医院', '山西省', '朔州市', '平鲁区', '0', '山西省平鲁区井坪镇平安东街')
('山阴县中医院', '二级乙等', '中医医院', '山西省', '朔州市', '山阴县', '90', '山西省山阴县车站路')
('山阴县济仁县医院', None, '综合医院', '山西省', '朔州市', '山阴县', 0, '山西省朔州市山阴县同太北路')
('山阴县人民医院', '二级甲等', '综合医院', '山西省', '朔州市', '山阴县', '200', '山西省山阴县岱岳镇文卫北路2号')
('朔州市中医精神病院', '一级甲等', '专科医院', '山西省', '朔州市', '山阴县', '0', '山西省朔州市山阴县岱岳镇山水苍22号')
('应县中医骨科医院', '一级甲等', '专科医院', '山西省', '朔州市', '应县', '80', '山西省应县南河种镇')
('应县中医院', '二级乙等', '中医医院', '山西省', '朔州市', '应县', '79', '山西省应县新建西路74号')
('沽源县医院', '二级甲等', '综合医院', '河北省', '张家口市', '沽源县', '100', '河北省沽源县平定堡镇')
('河北省尚义县医院', '二级甲等', '综合医院', '河北省', '张家口市', '尚义县', '150', '河北省尚义县')
('尚义县妇幼保健院', None, '妇幼保健院', '河北省', '张家口市', '尚义县', '0', '河北省尚义县')
('尚义县中医院', '二级甲等', '中医医院', '河北省', '张家口市', '尚义县', '50', '河北省尚义县安宁街')
('尚义县医院', '二级甲等', '综合医院', '河北省', '张家口市', '尚义县', '150', '河北省尚义县')
('河北省蔚县中医院', None, '中医医院', '河北省', '张家口市', '蔚县', '0', '河北省蔚县中医院')
('河北省蔚县人民医院', '二级甲等', '综合医院', '河北省', '张家口市', '蔚县', '240', '河北省蔚县蔚州镇牌楼东路3号')
('蔚县煤矿职工医院', None, '专科医院', '河北省', '张家口市', '蔚县', '208', '河北省蔚县')
('蔚县中医院', '二级乙等', '中医医院', '河北省', '张家口市', '蔚县', '110', '河北省蔚县南场')
('蔚县人民医院', '二级甲等', '综合医院', '河北省', '张家口市', '蔚县', '240', '河北省蔚县牌楼东路3号')
('张家口市老虎头煤矿职工医院', '一级甲等', '专科医院', '河北省', '张家口市', '蔚县', '0', '河北省张家口市蔚县南留庄镇')
('阳原县人民医院', '二级甲等', '综合医院', '河北省', '张家口市', '阳原县', '150', '河北省阳原县兴建路')
('阳原县中医院', '二级乙等', '中医医院', '河北省', '张家口市', '阳原县', '150', '河北省阳原县西城镇东大街')
('河北省怀安县医院', None, '综合医院', '河北省', '张家口市', '怀安县', '150', '河北省怀安县柴沟堡镇东大街43号')
('怀安县妇幼保健院', None, '妇幼保健院', '河北省', '张家口市', '怀安县', '24', '河北省张家口市怀安县')
('怀安县中医院', None, '中医医院', '河北省', '张家口市', '怀安县', '80', '河北省怀安县柴沟堡西大街35号')
('怀安县医院', '二级未定', '综合医院', '河北省', '张家口市', '怀安县', '150', '河北省怀安县柴沟堡镇东大街43号')
('河北省万全县中医院', '二级甲等', '中医医院', '河北省', '张家口市', '万全县', '70', '河北省张家口市万全县孔家庄商业街60号')
('万全县医院', '二级乙等', '综合医院', '河北省', '张家口市', '万全县', '310', '张家口市万全区孔家庄镇民主街')
('万全县中医院', '二级甲等', '中医医院', '河北省', '张家口市', '万全县', '150', '河北省万全县商业街60号')
('万全县妇幼保健院', None, '妇幼保健院', '河北省', '张家口市', '万全县', '0', '河北省张家口市万全县孔家庄镇新华街康复路19号')
('怀来同济医院', '二级未定', '综合医院', '河北省', '张家口市', '怀来县', '110', '河北省怀来县京张公路东大街文化广场东行200米')
('张家口市肺科医院', '二级未定', '专科医院', '河北省', '张家口市', '怀来县', '0', '河北省怀来县')
('怀来县医院', '二级甲等', '综合医院', '河北省', '张家口市', '怀来县', '220', '河北省张家口市怀来县沙城镇存瑞路12号')
('怀来县妇幼保健所', None, '妇幼保健院', '河北省', '张家口市', '怀来县', '110', '河北省怀来县')
('怀来县县医院', '二级甲等', '综合医院', '河北省', '张家口市', '怀来县', '220', '河北省怀来县存瑞路12号')
('怀来县中医院', '二级甲等', '中医医院', '河北省', '张家口市', '怀来县', '130', '河北省怀来县龙潭东街4号')
('张家口市', '一级甲等', '综合医院', '河北省', '张家口市', '怀来县', '0', '怀来县官厅湖畔丰沙铁路线辛窑')
('河北省涿鹿县中医院', None, '中医医院', '河北省', '张家口市', '涿鹿县', '79', '河北省涿鹿县城镇东风路165号')
('河北省涿鹿县医院', None, '综合医院', '河北省', '张家口市', '涿鹿县', '150', '河北省涿鹿县涿鹿镇南关大街57号')
('秭归县医疗中心', '二级甲等', '综合医院', '湖北省', '宜昌市', '秭归县', '240', '秭归县茅坪镇长宁大道10号')
('长阳县高家堰镇卫生院', '一级甲等', '乡镇卫生院', '湖北省', '宜昌市', '长阳县', '0', '湖北省宜昌市长阳土家族县高家堰镇高家堰村七组')
('长阳县中医医院', '一级甲等', '中医医院', '湖北省', '宜昌市', '长阳县', '0', '湖北省宜昌市长阳县龙舟坪镇')
('五峰土家族自治县人民医院', '一级甲等', '综合医院', '湖北省', '宜昌市', '五峰县', '120', '湖北省宜昌市五峰县五峰镇黄土包1号')
('五峰土家族自治县中医医院', '一级甲等', '中医医院', '湖北省', '宜昌市', '五峰县', '0', '湖北省宜昌市五峰县五峰镇正街46号')
('五峰县妇幼保健院', '一级甲等', '妇幼保健院', '湖北省', '宜昌市', '五峰县', '0', '五峰县沿河74号')
('五峰土家族自治县妇幼保健院', '二级未定', '妇幼保健院', '湖北省', '宜昌市', '五峰县', '20', '湖北省宜昌市五峰县五峰镇黄土包5号')
('应城化工厂职工医院', None, '专科医院', '湖北省', '孝感市', '应城市', '100', '应城市马坊街')
('应城市蒲阳医院', '一级甲等', '综合医院', '湖北省', '孝感市', '应城市', '140', '应城市大沿路23号')
('应城市长江医院', None, '综合医院', '湖北省', '孝感市', '应城市', '86', '应城市永安路24号')
('应城石膏矿职工医院', '一级甲等', '专科医院', '湖北省', '孝感市', '应城市', '120', '应城市城北高都街15号')
('应城市汤池医院', '一级甲等', '综合医院', '湖北省', '孝感市', '应城市', '64', '应城市温家路23号')
('应城市妇幼保健院', '一级甲等', '妇幼保健院', '湖北省', '孝感市', '应城市', '80', '应城市东大街33号')
('应城市人民医院', '二级甲等', '综合医院', '湖北省', '孝感市', '应城市', '410', '应城市蒲阳大道25号')
('应城市中医院', '二级甲等', '中医医院', '湖北省', '孝感市', '应城市', '160', '应城市城关大治路7号')
('应城市杨岭镇中心卫生院', None, '乡镇卫生院', '湖北省', '孝感市', '应城市', '0', '应城市杨岭镇')
('安陆市妇幼保健院', '二级未定', '妇幼保健院', '湖北省', '孝感市', '安陆市', '126', '安陆市府城儒学路27号')
('安陆市棉纺织集团有限责任公司职工医院', None, '专科医院', '湖北省', '孝感市', '安陆市', '0', '安陆市儒学路27号')
('安陆市第二人民医院', '二级未定', '综合医院', '湖北省', '孝感市', '安陆市', '201', '安陆市府城凤凰路122号')
('安陆市中医院', '二级甲等', '中医医院', '湖北省', '孝感市', '安陆市', '173', '安陆市府城金泉路66号')
('安陆市蒲爱医院', '二级甲等', '综合医院', '湖北省', '孝感市', '安陆市', '280', '安陆市碧郧路58号')
('粮食机械厂职工医院', '一级甲等', '专科医院', '湖北省', '孝感市', '安陆市', '0', '安陆市紫金路1号')
('铝业集团有限责任公司职工医院', '一级甲等', '专科医院', '湖北省', '孝感市', '安陆市', '0', '安陆市汉丹路88号')
('汉川市刁东棉花原种场职工医院', None, '专科医院', '湖北省', '孝感市', '汉川市', '0', '汉川市刁东棉花原种场')
('汉川市惠民医院', '二级甲等', '综合医院', '湖北省', '孝感市', '汉川市', '100', '汉川市新河镇电厂路')
('汉川市血防医院', '二级乙等', '综合医院', '湖北省', '孝感市', '汉川市', '100', '汉川市泵站路')
('汉川市妇幼保健院', '二级未定', '妇幼保健院', '湖北省', '孝感市', '汉川市', '100', '汉川市西湖大道')
('汉川市第二人民医院', '二级未定', '综合医院', '湖北省', '孝感市', '汉川市', '120', '汉川市马口镇')
('汉川市中医院', '二级甲等', '中医医院', '湖北省', '孝感市', '汉川市', '200', '汉川市城关镇西湖路17号')
('汉川市人民医院', '三级甲等', '综合医院', '湖北省', '孝感市', '汉川市', '1250', '汉川市城关镇欢乐街33号')
('安阳县第三人民医院', '二级乙等', '综合医院', '河南省', '安阳市', '安阳县', '200', '水冶镇辅岩路医学街13号')
('安阳市第五人民医院', '二级甲等', '专科医院', '河南省', '安阳市', '安阳县', '300', '安阳市安钢大道339号')
('安阳矿务局总医院', '二级甲等', '综合医院', '河南省', '安阳市', '安阳县', '160', '安阳县铁西区辅岩路')
('安阳县第二人民医院', '二级乙等', '综合医院', '河南省', '安阳市', '安阳县', '120', '安阳县白壁镇')
('安阳县第一人民医院', '二级甲等', '综合医院', '河南省', '安阳市', '安阳县', '201', '安阳县辅岩路医学街1号')
('安阳县中医院', '二级甲等', '中医医院', '河南省', '安阳市', '安阳县', '87', '安阳县白壁镇')
('安阳钢铁集团公司职工总医院', '二级甲等', '综合医院', '河南省', '安阳市', '安阳县', '503', '安阳市殷都区梅元庄钢三路')
('安阳县直医院', None, '综合医院', '河南省', '安阳市', '安阳县', '0', '河南省安阳市安阳县解放路')
('安阳一五一医院', '二级甲等', '综合医院', '河南省', '安阳市', '安阳县', '550', '安阳市文化路4号')
('安阳县精神病医院', None, '专科医院', '河南省', '安阳市', '安阳县', '0', '河南省安阳市安阳县高庄乡')
('安阳中医药学校附属医院', '二级乙等', '中医医院', '河南省', '安阳市', '安阳县', '0', '河南省安阳市彰德路5号')
('安阳市汤阴县古贤乡卫生院', '一级甲等', '乡镇卫生院', '河南省', '安阳市', '汤阴县', '0', '安阳市汤阴县古贤乡古贤村')
('汤阴县第二人民医院', None, '综合医院', '河南省', '安阳市', '汤阴县', '94', '汤阴县精忠路')
('汤阴县刘云峰肛肠病医院', None, '综合医院', '河南省', '安阳市', '汤阴县', 0, '河南省汤阴县向阳路南段')
('汤阴县中西医结合医院', '二级甲等', '中西医结合医院', '河南省', '安阳市', '汤阴县', '0', '河南省安阳市汤阴县清忠路东段')
('滑县乐方正骨医院', None, '专科医院', '河南省', '安阳市', '滑县', '0', '河南省滑县道口镇道康路中段')
('滑县公费医疗医院', None, '综合医院', '河南省', '安阳市', '滑县', '65', '滑县东关村')
('滑县妇幼保健院', '一级未定', '妇幼保健院', '河南省', '安阳市', '滑县', '100', '滑县东关村')
('滑县第三人民医院', '一级甲等', '综合医院', '河南省', '安阳市', '滑县', '82', '滑县东关村')
('滑县第二人民医院', '一级甲等', '综合医院', '河南省', '安阳市', '滑县', '74', '滑县东留固村')
('滑县人民医院', '二级甲等', '综合医院', '河南省', '安阳市', '滑县', '650', '河南省安阳市滑县新区文明大道南段')
('滑县中医院', '二级甲等', '中医医院', '河南省', '安阳市', '滑县', '150', '滑县城关镇小西关村')
('滑县中心医院', '二级甲等', '综合医院', '河南省', '安阳市', '滑县', '0', '河南省安阳市滑县道口镇健康巷2号')
('内黄县公费医疗医院', None, '综合医院', '河南省', '安阳市', '内黄县', '101', '内黄县东风村')
('内黄县中医院', '二级甲等', '中医医院', '河南省', '安阳市', '内黄县', '100', '内黄县城关镇西关村')
('内黄县人民医院', '二级甲等', '综合医院', '河南省', '安阳市', '内黄县', '340', '内黄县城东大街76号')
('中国人民解放军一六零医院', '三级甲等', '综合医院', '河南省', '焦作市', '解放区', '0', '焦作市工业路东段')
('焦作市煤业集团有限责任公司中央医院', '一级甲等', '综合医院', '河南省', '焦作市', '解放区', '0', '河南省焦作市解放区健康路')
('焦作煤业集团中央医院三分院', None, '综合医院', '河南省', '焦作市', '解放区', '100', '焦作市安阳城乡李庄')
('焦作煤业集团中央医院一分院', None, '综合医院', '河南省', '焦作市', '解放区', '170', '焦作市')
('历下民生诊所', None, '诊所', '山东省', '济南市', '历下区', '0', '济南市历下区浆水泉路28号荆山新居沿街门头房10号')
('济阳县曲堤镇中心卫生院', None, '乡镇卫生院', '山东省', '济南市', '济阳县', '50', '济阳县曲堤镇曲堤街')
('山东省邮政公司门诊部', None, '门诊部', '山东省', '济南市', '历下区', '0', '济南市历下区黑西路181号')
('长清区五峰山街道办事处计划生育服务站', None, '计划生育服务中心', '山东省', '济南市', '长清区', '0', '长清区五峰山街道办事处政府驻地')
('青岛市海慈医疗集团', '三级甲等', '中医医院', '山东省', '青岛市', '市北区', '0', '青岛市人民路4号')
('济南泰山医院', '一级甲等', '综合医院', '山东省', '济南市', '市中区', '20', '济南市济微路75号')
('济南周围血管病医院', '未定级', '专科医院', '山东省', '济南市', '市中区', '110', '市中区济微路125-7号')
('济南市历下区建新办事处山大南路社区卫生服务站', None, '社区卫生服务中心', '山东省', '济南市', '历下区', '0', '济南市历下区山大南路（商业街）68号')
('济南口腔正畸诊所', None, '诊所', '山东省', '济南市', '历下区', '0', '济南市历下区黑虎泉北路159号')
('济阳县太平镇卫生院', None, '乡镇卫生院', '山东省', '济南市', '济阳县', '22', '济阳县太平镇太平街')
('长清区归德镇计划生育技术服务站', None, '计划生育服务中心', '山东省', '济南市', '长清区', '0', '长清区归德镇政府驻地')
('济南华侨医院', None, '综合医院', '山东省', '济南市', '市中区', 0, '济南市玉函路55号')
('济南北方皮肤病医院', '未定级', '专科医院', '山东省', '济南市', '市中区', '30', '济南市市中区英雄山路77号')
('青岛静康医院', '二级甲等', '中医医院', '山东省', '青岛市', '市北区', '100', '青岛市登州路39号')
('青岛经济技术开发区疾病控制中心', None, '疾病预防控制中心', '山东省', '青岛市', '黄岛区', '0', '青岛经济技术开发区富春江路236号')
('历下丽容医疗美容诊所', None, '诊所', '山东省', '济南市', '历下区', '0', '济南市历下区解放路95号')
('济南市历下区文东办事处环山社区卫生服务站', None, '社区卫生服务中心', '山东省', '济南市', '历下区', '10', '济南市历下区羊头峪路13号')
('济阳县仁风镇中心卫生院', None, '乡镇卫生院', '山东省', '济南市', '济阳县', '33', '济阳县仁风镇仁风街')
('长清区孝里镇计划生育技术服务站', None, '计划生育服务中心', '山东省', '济南市', '长清区', '0', '长清区孝里镇政府驻地')
('山东舜康健康管理服务有限公司体检中心', None, '门诊部', '山东省', '济南市', '市中区', '0', '市中区建国小经六路19号')
('济南青华医院', None, '综合医院', '山东省', '济南市', '市中区', 0, '济南市市中区英雄山路10号')
('青岛肛泰肛肠医院', '二级未定', '中医医院', '山东省', '青岛市', '市北区', '50', '青岛市四方区抚顺路5号')
('胶南市疾病控制中心', None, '疾病预防控制中心', '山东省', '青岛市', '黄岛区', '0', '青岛市黄岛区灵山湾路2380号')
('济南韩氏整形美容医院', None, '专科医院', '山东省', '济南市', '市中区', 0, '市中区民生大街22号三箭银苑A座')
('历下利健诊所', None, '诊所', '山东省', '济南市', '历下区', '0', '济南市历下区窑头小区24-2-102')
('济南市历下区文化东路办事处师东新村社区卫生服务站', None, '社区卫生服务中心', '山东省', '济南市', '历下区', '6', '济南市历下区文化东路86-2-3号')
('济阳县垛石镇中心卫生院', None, '乡镇卫生院', '山东省', '济南市', '济阳县', '21', '济阳县垛石镇垛石街')
('长清区万德镇计划生育技术服务站', None, '计划生育服务中心', '山东省', '济南市', '长清区', '0', '长清区万德镇政府驻地')
('济南市计划生育服务中心舜玉门诊部', None, '门诊部', '山东省', '济南市', '市中区', '0', '济南市市中区舜玉路9号')
('山东红十字会医院', '一级未定', '综合医院', '山东省', '济南市', '市中区', '101', '济南市英雄山路16号')
('樟树市店下镇中心卫生院', '一级甲等', '乡镇卫生院', '江西省', '宜春市', '樟树市', '0', '江西省樟树市店下镇')
('江西省荣军医院', '三级乙等', '综合医院', '江西省', '宜春市', '樟树市', '500', '江西省樟树市临江镇')
('樟树市第三人民医院', '一级甲等', '综合医院', '江西省', '宜春市', '樟树市', '65', '樟树市市背街38号')
('樟树市中医院', '二级甲等', '中医医院', '江西省', '宜春市', '樟树市', '150', '樟树市药都南大道58号')
('樟树市第二人民医院', '二级甲等', '综合医院', '江西省', '宜春市', '樟树市', '70', '樟树市临江街18号')
('樟树市人民医院', '二级甲等', '综合医院', '江西省', '宜春市', '樟树市', '360', '樟树市药都大道13号')
('江西省高安市妇幼保健院', '二级甲等', '妇幼保健院', '江西省', '宜春市', '高安市', '0', '江西省高安市桥北路84号')
('江西八景煤矿职工医院', None, '专科医院', '江西省', '宜春市', '高安市', '120', '高安市八景镇')
('江西新华煤矿职工医院', None, '专科医院', '江西省', '宜春市', '高安市', '120', '高安市八景镇')
('高安市中医院', '二级甲等', '中医医院', '江西省', '宜春市', '高安市', '200', '高安市筠阳镇中山路28号')
('江西英岗岭矿务局职工医院', None, '专科医院', '江西省', '宜春市', '高安市', '120', '江西高安英岗岭矿务局职工医院')
('高安市骨伤医院', None, '专科医院', '江西省', '宜春市', '高安市', '250', '高安市')
('高安市人民医院', '二级甲等', '综合医院', '江西省', '宜春市', '高安市', '465', '高安市桥北路66号')
('奉新县妇幼保健所', None, '妇幼保健院', '江西省', '宜春市', '奉新县', '0', '江西省奉新县冯川镇奉新大道南路247号')
('奉新县中医院', '二级甲等', '中医医院', '江西省', '宜春市', '奉新县', '100', '奉新县南门路65号')
('奉新县人民医院', '二级甲等', '综合医院', '江西省', '宜春市', '奉新县', '275', '奉新县冯川镇东路')
('万载县胡安黎肝病专科医院', None, '专科医院', '江西省', '宜春市', '万载县', '0', '万载县环城北路137号')
('万载县妇幼保健所', None, '妇幼保健院', '江西省', '宜春市', '万载县', '180', '万载县宝塔南路69号')
('万载县中医院', '二级甲等', '中医医院', '江西省', '宜春市', '万载县', '180', '万载县康乐镇阳乐大道43号')
